Kingdom	Phylum	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S3	S4	S5	S6	S7	S8	S9
Archaea	Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004827886	0	0	0	0	0
Archaea	Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Halobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Abditibacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0.004128904	0.039393343	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	0.260819953	64.63325158	0.026821294	0.674933447	0.012112403	0.26786671	29.51070336	96.961541	20.48685578	1.165902141	0.788620739	15.49143195	0.280956124	4.517837669	5.024219894	0.148817433	0.840722496	0.028677947	0.34909177	0.804699842
Bacteria	Armatimonadota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidota	0.065204988	8.701758799	0.005108818	0.022761685	0	0	1.040931546	0.335114453	42.86409162	10.13634047	0.340634613	3.135053509	0.065507905	1.127901542	1.284217641	0.669678448	1.090311987	0.00185019	0.721850778	0.720774092
Bacteria	Bdellovibrionota	0	0.003144456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Campylobacterota	0	0	0.001277204	0	0	0	0	0	0.077383979	0.388634047	0	0	0	0	0	0.015944725	0.006568144	0	0	0.019747235
Bacteria	Chloroflexi	0	0	6.39E-04	0.003958554	0	0	0	0	0	0	0	0	0	0.0062315	0	0	0	0	0	0.009873618
Bacteria	Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Deferribacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Deinococcota	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062315	0.006437181	0	0	0	0	0
Bacteria	Dependentiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Desulfobacterota	0	0	0	0	0	0	0	0	0	0	0.006193357	0	0	0.015578751	0	0	0	0	0	0
Bacteria	Fibrobacterota	0	0	0	0	0	0	0	0	0	0	0	0.003282779	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	99.22569077	26.65345995	99.12830796	99.2132374	99.97577519	89.596057	69.44836509	2.658486708	36.53408212	88.01605505	98.27824687	80.27378373	99.30416048	93.96790777	93.35361045	98.62343875	98.00328407	99.59573346	98.18353944	97.56121643
Bacteria	Fusobacteriota	0	0.004192608	0	0	0	0	0	0	0	0	0.006193357	0.003282779	0	0.00311575	0	0	0	0.00185019	0	0
Bacteria	Gemmatimonadota	0	0	0	0	0	0	0	0	0	0	0	0.016413893	0	0	0.008046476	0	0	0	0	0
Bacteria	Hydrogenedentes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Latescibacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Methylomirabilota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Myxococcota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003218591	0	0	0	0	0
Bacteria	Nitrospirota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Patescibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003218591	0	0	0	0	0
Bacteria	Planctomycetota	0	0	0	0	0	0.004285867	0	0	0	0	0.004128904	0	0	0.0062315	0.004827886	0	0	0	0	0
Bacteria	Proteobacteria	0.431983047	0.004192608	0.837846122	0.08510891	0.012112403	10.13179042	0	0.04485784	0.037586504	0.293068298	0.571853259	1.03735802	0.349375491	0.348964013	0.302547514	0.542120648	0.0591133	0.371888212	0.745518017	0.883688784
Bacteria	RCP2-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	SAR324 clade(Marine group B)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Spirochaetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Sumerlaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Synergistota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobiota	0.016301247	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004827886	0	0	0	0	0
Bacteria	WPS-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0